registration_code,school_short_name,school_full_name,school_old_name,district,education_office,post_adress,longitude,latitude,places_amount,pupils,staf,students_per_teacher
23888525,"Навчально-виховний комплекс «Школа-гімназія ""Галицька""»","Навчально-виховний комплекс «Школа-гімназія ""Галицька""»","Навчально-виховний комплекс «Школа-гімназія ""Галицька""»",Галицький,Відділ освіти Галицького та Франківського районів,"79019, м. Львів, вул. Замкова, 4",24.03350447,49.84731568,600.0,312,58.81,5.305220200646148
23270713,Навчально-виховний комплекс «Школа-гімназія І-ІІІ ст. блаженних Климентія та Андрея Шептицьких»,"Навчально-виховний комплекс ""Школа-гімназія І-ІІІ ступенів блаженних Климентія та Андрея Шептицьких""","Навчально-виховний комплекс ""Школа-гімназія І-ІІІ ступенів блаженних Климентія та Андрея Шептицьких""",Сихівський,Відділ освіти Сихівського та Личаківського районів,"79070, м. Львів, вул. Г. Хоткевича, 16",24.04672543,49.79580122,318.0,263,43.16,6.093605189990733
25231545,"Навчально-виховний комплекс «Школа-ліцей ""Європейський""»","Навчально-виховний комплекс «Школа-ліцей ""Європейський""»","Навчально-виховний комплекс «Школа-ліцей ""Європейський""»",Франківський,Відділ освіти Галицького та Франківського районів,"79021, м. Львів, вул. Кульпарківська, 99",23.98686086,49.81543197,400.0,259,54.75,4.730593607305936
20822052,"Навчально-виховний комплекс «Школа-ліцей ""Оріяна""»","Навчально-виховний комплекс «Школа-ліцей ""Оріяна""» м. Львова","Навчально-виховний комплекс «Школа-ліцей ""Оріяна""» м. Львова",Сихівський,Відділ освіти Сихівського та Личаківського районів,"79070, м. Львів, вул. В. Чукаріна, 3",24.04274382,49.79707006,1100.0,1070,137.39,7.788048620714754
23886880,Навчально-виховний комплекс садок-школа «Дзвіночок»,Львівський навчально-виховний комплекс садок-школа «Дзвіночок» Львівської міської ради Львівської області,"Навчально-виховний комплекс «Школа-садок ""Дзвіночок""»",Личаківський,Відділ освіти Сихівського та Личаківського районів,"79010, м. Львів, вул. М. Некрасова, 31",24.05146713,49.83804504,100.0,121,16.36,7.396088019559903
20833937,Навчально-виховний комплекс садок-школа «Малюк»,Львівський навчально-виховний комплекс садок-школа «Малюк» Львівської міської ради Львівської області,"Львівський навчально-виховний комплекс «Садок-школа ""Малюк""»",Франківський,Відділ освіти Галицького та Франківського районів,"79053, м. Львів, вул. Володимира Великого, 41а",24.00491641,49.80807987,,115,52.0,2.2115384615384617
33753722,Навчально-виховний комплекс школа-садок «Арніка»,Львівський навчально-виховний комплекс школа-садок «Арніка»,"Навчально-виховний комплекс «Школа-садок ""Арніка""»",Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79039, м. Львів, вул. В. Комарова, 12",24.00298561,49.84439684,119.0,279,67.48,4.13455838767042
20834285,Початкова школа «Джерельце»,Початкова школа «Джерельце» Львівської міської ради,Львівська середня загальноосвітня школа І ступеня «Джерельце» з поглибленим вивченням англійської мови,Франківський,Відділ освіти Галицького та Франківського районів,"79026, м. Львів, вул. Академіка А. Сахарова, 80",24.01683957,49.82087535,300.0,420,58.06,7.233895969686531
25558358,Початкова школа «Дивосвіт»,Початкова школа «Дивосвіт» Львівської міської ради,Загальноосвітня школа «Дивосвіт»,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79049, м. Львів, вул. К. Трильовського, 24",24.06281024,49.78322052,360.0,373,47.64,7.829554995801847
22370559,Початкова школа «Первоцвіт»,Початкова школа «Первоцвіт» Львівської міської ради,Загальноосвітня школа «Первоцвіт»,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79066, м. Львів, вул. А. Манастирського, 9",24.05734827,49.79906732,480.0,508,58.67,8.658598943241861
25224611,Початкова школа «Світанок»,Початкова школа «Світанок» Львівської міської ради,Львівська загальноосвітня школа І ступеня «Світанок» з поглибленим вивченням англійської мови,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79021, м. Львів, вул. С. Петлюри, 43а",23.98404201,49.81967794,612.0,755,95.52,7.904103852596315
22416862,Початкова школа «Школа радості»,Початкова школа «Школа радості» Львівської міської ради,Львівська середня загальноосвітня школа І-ІІ ступенів «Школа радості» з поглибленим вивченням англійської мови,Франківський,Відділ освіти Галицького та Франківського районів,"79070, м. Львів, вул. І. Пулюя, 10",23.98584771,49.80358692,300.0,288,57.52,5.006954102920723
34711730,Початкова школа №4,Початкова школа №4 Львівської міської ради,Львівська спеціалізована школа І ступеня №4 з поглибленим вивченням англійської мови,Галицький,Відділ освіти Галицького та Франківського районів,"79011, м. Львів, вул. Є. Дзиндри, 7",24.02672783,49.82731085,284.0,301,38.53,7.812094471840124
35664603,Початкова школа №53,Початкова школа №53 Львівської міської ради,Львівська спеціалізована загальноосвітня школа І ступеня №53 з поглибленим вивченням англійської мови,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79019, м. Львів, просп. В. Чорновола, 6",24.02525686,49.85003614,584.0,563,67.6,8.328402366863907
23887299,Середня загальноосвітня школа I-III ст. №29,Середня загальноосвітня школа I-III ступенів №29 м. Львова,Середня загальноосвітня школа №29,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79495, м. Львів, Винники, вул. Сухомлинського, 6",24.141816,49.820025,1500.0,1232,138.36,8.904307603353569
23887313,Середня загальноосвітня школа I-III ст. №47,Середня загальноосвітня школа I-III ступенів №47 м. Львова,Середня загальноосвітня школа І-ІІІ ступенів №47 м. Львова,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79495, м. Львів, Винники, вул. Галицька, 54",24.148511,49.817169,540.0,547,73.67,7.425003393511606
23887320,Середня загальноосвітня школа I-III ст. №49,Середня загальноосвітня школа I-III ступенів №49 м. Львова,Середня загальноосвітня школа І-ІІІ ступенів №49 м. Львова,Личаківський,Відділ освіти Сихівського та Личаківського районів,"79017, м. Львів, вул. О. Басараб, 4",24.04272717,49.82855954,620.0,596,101.36,5.880031570639305
20834351,Середня загальноосвітня школа I-III ст. №50,Середня загальноосвітня школа I-III ступенів №50 м. Львова,Львівська середня загальноосвітня школа І-ІІІ ступенів №50 імені Антона Макаренка,Франківський,Відділ освіти Галицького та Франківського районів,"79012, м. Львів, вул. Т. Комаринця, 2",24.01741566,49.82641991,650.0,418,70.72,5.910633484162896
23888652,Середня загальноосвітня школа I-III ст. №78,Середня загальноосвітня школа I-III ступенів №78 м. Львова,Середня загальноосвітня школа №78 міста Львова,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79019, м. Львів, вул. Замарстинівська, 132",24.02688589,49.86217441,466.0,570,78.72,7.240853658536586
25224864,Середня загальноосвітня школа №1,Середня загальноосвітня школа №1 м. Львова,Середня загальноосвітня школа №1 м. Львова,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79049, м. Львів, вул. К. Трильовського, 17",24.06612373,49.78484443,990.0,836,105.06,7.9573577003616975
20834196,Ліцей №10 ім. св. Марії Магдалени,Ліцей №10 ім. св. Марії Магдалени,Середня загальноосвітня школа №10 ім. св. Марії Магдалени,Галицький,Відділ освіти Галицького та Франківського районів,"79013, м. Львів, вул. Генерала Т. Чупринки, 1",24.01607022,49.83416659,309.0,281,51.27,5.480787985176516
22350203,Середня загальноосвітня школа №100,Середня загальноосвітня школа №100 м. Львова,Середня загальноосвітня школа №100 м. Львова,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79002, м. Львів, вул. В. Величковського, 58",23.93220961,49.87825017,950.0,899,120.12,7.484182484182484
22336508,Середня загальноосвітня школа №13,Середня загальноосвітня школа №13,Середня загальноосвітня школа №13,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79049, м. Львів, вул. М. Драгана, 7",24.05612925,49.78353809,1000.0,1032,132.39,7.795150691139815
23888548,Середня загальноосвітня школа №22 ім. В. Стефаника,Середня загальноосвітня школа №22 імені В. Стефаника м. Львова,Середня загальноосвітня школа №22 імені Василя Стефаника,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79019, м. Львів, вул. Хімічна, 7",24.02504715,49.85411268,630.0,560,78.5,7.13375796178344
23888554,Середня загальноосвітня школа №23,Середня загальноосвітня школа №23,Львівська середня загальноосвітня школа №23 міста Львова,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79020, м. Львів, вул. Варшавська, 126",24.01082414,49.86527592,540.0,723,89.55,8.073701842546065
22336019,Середня загальноосвітня школа №27 ім. героя Небесної Сотні Юрія Вербицького,Середня загальноосвітня школа №27 м. Львова імені героя Небесної Сотні Юрія Вербицького,Середня загальноосвітня школа імені Героя Небесної сотні Юрія Вербицького №27,Галицький,Відділ освіти Галицького та Франківського районів,"79011, м. Львів, вул. І. Свєнціцького, 15",24.03607997,49.82539946,650.0,415,67.72,6.12817483756645
23888560,Середня загальноосвітня школа №30,Середня загальноосвітня школа №30,Львівська середня загальноосвітня школа №30 міста Львова,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79059, м. Львів, вул. Гетьмана І. Мазепи, 31",24.04601558,49.87323489,847.0,1035,110.83,9.338626725615809
20834306,Середня загальноосвітня школа №32,Середня загальноосвітня школа №32,Середня загальноосвітня школа №32,Сихівський,Відділ освіти Сихівського та Личаківського районів,"79031, м. Львів, вул. Я. Гашека, 13",24.0203143,49.79608433,1200.0,1350,143.92,9.380211228460256
23888577,Середня загальноосвітня школа №33,Середня загальноосвітня школа №33 м. Львова,Львівська середня загальноосвітня школа №33,Шевченківський,Відділ освіти Шевченківського та Залізничного районів,"79016, м. Львів, вул. Т. Шевченка, 34",24.01370295,49.84379668,350.0,270,47.92,5.634390651085142
22350261,Середня загальноосвітня школа №34 ім. М. Шашкевича,Середня загальноосвітня школа №34 ім. М. Шашкевича м. Львова,Середня загальноосвітня школа №34 імені Маркіяна Шашкевича м. Львова,Галицький,Відділ освіти Галицького та Франківського районів,"79016, м. Львів, вул. Замкнена, 8",24.01530149,49.84025477,700.0,717,104.33,6.872424039106681
22350290,Середня загальноосвітня школа №40,Середня загальноосвітня школа №40 м. Львова,Середня загальноосвітня школа №40 міста Львова,Залізничний,Відділ освіти Шевченківського та Залізничного районів,"79054, м. Львів, вул. Любінська, 93б",23.97598811,49.8194465,774.0,822,109.0,7.541284403669724
